x.bmi5cat,income2,x.state,Freq
3,6,17,366416
4,6,17,302519
1,7,17,13612
2,7,17,423009
3,7,17,487653
4,7,17,450638
1,8,17,39093
2,8,17,1031808
3,8,17,1221854
4,8,17,903562
1,77,17,10841
2,77,17,205000
3,77,17,117459
4,77,17,141819
1,99,17,4730
2,99,17,102485
3,99,17,116926
4,99,17,107087
1,1,18,5116
2,1,18,58380
3,1,18,48800
4,1,18,72150
1,2,18,3334
2,2,18,53027
3,2,18,42200
4,2,18,43899
1,3,18,14557
2,3,18,81005
3,3,18,64896
4,3,18,91983
1,4,18,7793
2,4,18,112666
3,4,18,89885
4,4,18,129064
1,5,18,9640
2,5,18,136223
3,5,18,139911
4,5,18,156413
1,6,18,9764
2,6,18,172912
3,6,18,217265
4,6,18,199347
1,7,18,11522
2,7,18,204250
3,7,18,234627
4,7,18,265575
1,8,18,6309
2,8,18,389994
3,8,18,439317
4,8,18,412439
1,77,18,20154
2,77,18,134004
3,77,18,116313
4,77,18,129651
1,99,18,8589
2,99,18,138676
3,99,18,125377
4,99,18,99475
1,1,19,1986
2,1,19,25202
3,1,19,16678
4,1,19,21378
1,2,19,2295
2,2,19,21084
3,2,19,19432
4,2,19,26654
1,3,19,2809
2,3,19,33700
3,3,19,36242
4,3,19,49251
1,4,19,3995
2,4,19,42778
3,4,19,45738
4,4,19,65779
1,5,19,2193
2,5,19,44404
3,5,19,65093
4,5,19,68677
1,6,19,3658
2,6,19,75113
3,6,19,95624
4,6,19,119736
1,7,19,4047
2,7,19,103609
3,7,19,130858
4,7,19,134524
1,8,19,3542
2,8,19,209676
3,8,19,261237
4,8,19,228796
1,77,19,3693
2,77,19,62791
3,77,19,45127
4,77,19,44881
1,99,19,3482
2,99,19,33732
3,99,19,48528
4,99,19,31314
1,1,20,772
2,1,20,24180
3,1,20,15434
4,1,20,27778
1,2,20,1169
2,2,20,26818
3,2,20,15365
4,2,20,32097
1,3,20,2117
2,3,20,36638
3,3,20,26899
4,3,20,44564
1,4,20,5093
2,4,20,40027
3,4,20,50782
4,4,20,55730
1,5,20,3339
2,5,20,50061
3,5,20,64637
4,5,20,66447
1,6,20,2671
2,6,20,67868
3,6,20,97208
4,6,20,83792
1,7,20,3034
2,7,20,82369
3,7,20,108681
4,7,20,114238
1,8,20,5184
2,8,20,179237
3,8,20,227338
4,8,20,193055
1,77,20,5018
2,77,20,63647
3,77,20,49566
4,77,20,49701
1,99,20,706
2,99,20,30886
3,99,20,33266
4,99,20,24396
1,1,21,12017
2,1,21,59567
3,1,21,40558
4,1,21,60782
1,2,21,3712
2,2,21,39483
3,2,21,45354
4,2,21,71711
1,3,21,4779
2,3,21,60185
3,3,21,40060
4,3,21,71900
1,4,21,3468
2,4,21,61289
3,4,21,66927
4,4,21,94301
1,5,21,1841
2,5,21,83720
3,5,21,89352
4,5,21,127312
1,6,21,3008
2,6,21,108701
3,6,21,122688
4,6,21,142584
1,7,21,1256
2,7,21,109618
3,7,21,161054
4,7,21,180039
1,8,21,5716
2,8,21,238995
3,8,21,285779
4,8,21,264023
1,77,21,11006
2,77,21,139997
3,77,21,95244
4,77,21,110746
1,99,21,3220
2,99,21,68347
3,99,21,83830
4,99,21,61258
1,1,22,5420
2,1,22,85189
3,1,22,60817
4,1,22,93432
1,2,22,3035
2,2,22,43228
3,2,22,58097
4,2,22,68929
1,3,22,6973
2,3,22,62873
3,3,22,83891
4,3,22,101025
1,4,22,5803
2,4,22,59472
3,4,22,89150
4,4,22,117152
1,5,22,4024
2,5,22,87522
3,5,22,86066
4,5,22,114539
1,6,22,3428
2,6,22,95872
3,6,22,118075
4,6,22,142847
1,7,22,6524
2,7,22,95545
3,7,22,130514
4,7,22,152405
1,8,22,7200
2,8,22,254812
3,8,22,314986
4,8,22,287877
1,77,22,10846
2,77,22,128620
3,77,22,71067
4,77,22,92467
1,99,22,3037
2,99,22,38464
3,99,22,63711
4,99,22,41111
